obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
533;35;77.778;104;86.667;197;93.810;248;98.413;208;99.048;120;100.000;45;100.000;10;100.000;1;100.000;968;95.558
534;35;77.778;106;88.333;197;93.810;245;97.222;209;99.524;120;100.000;45;100.000;10;100.000;1;100.000;968;95.558
535;35;77.778;105;87.500;192;91.429;241;95.635;206;98.095;120;100.000;45;100.000;10;100.000;1;100.000;955;94.274
536;38;84.444;114;95.000;208;99.048;251;99.603;207;98.571;120;100.000;45;100.000;10;100.000;1;100.000;994;98.124
537;27;60.000;84;70.000;159;75.714;196;77.778;174;82.857;101;84.167;41;91.111;9;90.000;1;100.000;792;78.184
538;24;53.333;81;67.500;156;74.286;190;75.397;172;81.905;104;86.667;40;88.889;9;90.000;1;100.000;777;76.703
539;35;77.778;107;89.167;194;92.381;240;95.238;204;97.143;119;99.167;45;100.000;10;100.000;1;100.000;955;94.274
540;25;55.556;72;60.000;143;68.095;190;75.397;156;74.286;93;77.500;35;77.778;8;80.000;1;100.000;723;71.372
541;41;91.111;113;94.167;209;99.524;251;99.603;210;100.000;120;100.000;45;100.000;10;100.000;1;100.000;1000;98.717
542;41;91.111;118;98.333;207;98.571;250;99.206;209;99.524;120;100.000;45;100.000;10;100.000;1;100.000;1001;98.815
543;34;75.556;102;85.000;189;90.000;236;93.651;202;96.190;119;99.167;45;100.000;10;100.000;1;100.000;938;92.596
544;25;55.556;72;60.000;144;68.571;168;66.667;145;69.048;85;70.833;31;68.889;8;80.000;1;100.000;679;67.029
545;38;84.444;111;92.500;203;96.667;248;98.413;210;100.000;120;100.000;45;100.000;10;100.000;1;100.000;986;97.335
546;36;80.000;105;87.500;195;92.857;240;95.238;205;97.619;119;99.167;45;100.000;10;100.000;1;100.000;956;94.373
547;41;91.111;118;98.333;208;99.048;251;99.603;210;100.000;120;100.000;45;100.000;10;100.000;1;100.000;1004;99.112
548;28;62.222;92;76.667;150;71.429;175;69.444;147;70.000;91;75.833;38;84.444;9;90.000;1;100.000;731;72.162
549;31;68.889;87;72.500;164;78.095;200;79.365;177;84.286;107;89.167;43;95.556;9;90.000;1;100.000;819;80.849
