obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
2;10;22.222;36;30.000;84;40.000;126;50.000;122;58.095;72;60.000;28;62.222;8;80.000;1;100.000;487;48.075
4;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
7;11;24.444;23;19.167;41;19.524;48;19.048;40;19.048;27;22.500;13;28.889;3;30.000;0;0.000;206;20.336
9;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
10;3;6.667;5;4.167;5;2.381;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;1.382
11;9;20.000;9;7.500;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;1.974
12;3;6.667;9;7.500;11;5.238;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;25;2.468
14;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
18;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
20;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
22;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
26;10;22.222;17;14.167;13;6.190;4;1.587;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;44;4.344
27;4;8.889;0;0.000;2;0.952;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
29;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
30;4;8.889;4;3.333;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
35;9;20.000;35;29.167;68;32.381;71;28.175;60;28.571;26;21.667;6;13.333;1;10.000;0;0.000;276;27.246
36;3;6.667;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
38;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
40;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
44;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
45;3;6.667;4;3.333;6;2.857;5;1.984;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;19;1.876
46;7;15.556;10;8.333;9;4.286;5;1.984;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;33;3.258
47;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
49;4;8.889;13;10.833;16;7.619;11;4.365;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;45;4.442
51;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
53;1;2.222;1;0.833;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
54;2;4.444;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
