obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
2;9;20.000;8;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;1.678
35;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
60;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
127;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
138;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
183;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
192;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
201;2;4.444;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
212;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
310;9;20.000;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
311;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
335;3;6.667;2;1.667;7;3.333;6;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
344;5;11.111;9;7.500;7;3.333;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;2.172
374;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
405;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
440;6;13.333;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
475;21;46.667;60;50.000;139;66.190;199;78.968;185;88.095;112;93.333;45;100.000;10;100.000;1;100.000;772;76.209
476;20;44.444;66;55.000;140;66.667;197;78.175;183;87.143;113;94.167;44;97.778;10;100.000;1;100.000;774;76.407
477;11;24.444;36;30.000;69;32.857;105;41.667;97;46.190;65;54.167;29;64.444;7;70.000;1;100.000;420;41.461
478;27;60.000;87;72.500;171;81.429;229;90.873;204;97.143;120;100.000;45;100.000;10;100.000;1;100.000;894;88.253
479;18;40.000;47;39.167;102;48.571;145;57.540;139;66.190;94;78.333;38;84.444;9;90.000;1;100.000;593;58.539
480;37;82.222;110;91.667;203;96.667;250;99.206;210;100.000;120;100.000;45;100.000;10;100.000;1;100.000;986;97.335
481;19;42.222;65;54.167;137;65.238;191;75.794;177;84.286;112;93.333;44;97.778;10;100.000;1;100.000;756;74.630
482;25;55.556;84;70.000;172;81.905;230;91.270;204;97.143;119;99.167;45;100.000;10;100.000;1;100.000;890;87.858
483;11;24.444;29;24.167;73;34.762;118;46.825;113;53.810;67;55.833;23;51.111;7;70.000;1;100.000;442;43.633
484;15;33.333;45;37.500;82;39.048;120;47.619;105;50.000;76;63.333;30;66.667;7;70.000;1;100.000;481;47.483
485;19;42.222;58;48.333;112;53.333;166;65.873;157;74.762;102;85.000;43;95.556;10;100.000;1;100.000;668;65.943
486;24;53.333;76;63.333;166;79.048;221;87.698;202;96.190;119;99.167;45;100.000;10;100.000;1;100.000;864;85.291
487;23;51.111;79;65.833;169;80.476;215;85.317;200;95.238;118;98.333;45;100.000;10;100.000;1;100.000;860;84.896
488;18;40.000;58;48.333;115;54.762;162;64.286;159;75.714;98;81.667;41;91.111;10;100.000;1;100.000;662;65.350
489;22;48.889;61;50.833;106;50.476;149;59.127;145;69.048;94;78.333;38;84.444;9;90.000;1;100.000;625;61.698
490;18;40.000;63;52.500;133;63.333;184;73.016;170;80.952;106;88.333;42;93.333;10;100.000;1;100.000;727;71.767
491;12;26.667;34;28.333;72;34.286;121;48.016;110;52.381;71;59.167;34;75.556;8;80.000;1;100.000;463;45.706
492;17;37.778;63;52.500;131;62.381;189;75.000;179;85.238;109;90.833;44;97.778;10;100.000;1;100.000;743;73.346
493;17;37.778;54;45.000;119;56.667;164;65.079;161;76.667;105;87.500;43;95.556;10;100.000;1;100.000;674;66.535
494;21;46.667;84;70.000;171;81.429;234;92.857;207;98.571;120;100.000;45;100.000;10;100.000;1;100.000;893;88.154
495;34;75.556;100;83.333;200;95.238;249;98.810;210;100.000;120;100.000;45;100.000;10;100.000;1;100.000;969;95.656
496;2;4.444;5;4.167;5;2.381;10;3.968;8;3.810;7;5.833;1;2.222;0;0.000;0;0.000;38;3.751
497;13;28.889;46;38.333;102;48.571;141;55.952;132;62.857;83;69.167;35;77.778;9;90.000;1;100.000;562;55.479
498;10;22.222;34;28.333;74;35.238;115;45.635;114;54.286;73;60.833;34;75.556;9;90.000;1;100.000;464;45.805
499;40;88.889;113;94.167;209;99.524;252;100.000;210;100.000;120;100.000;45;100.000;10;100.000;1;100.000;1000;98.717
500;26;57.778;85;70.833;170;80.952;224;88.889;199;94.762;118;98.333;45;100.000;10;100.000;1;100.000;878;86.673
