obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;35;53.030;119;54.091;269;54.343;444;56.061;566;61.255;526;66.414;354;71.515;174;79.091;57;86.364;11;91.667;1;100.000;2556;62.601
1;15;22.727;68;30.909;166;33.535;330;41.667;462;50.000;462;58.333;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2065;50.576
2;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
3;26;39.394;86;39.091;165;33.333;232;29.293;223;24.134;159;20.076;76;15.354;30;13.636;0;0.000;0;0.000;0;0.000;997;24.418
4;32;48.485;138;62.727;369;74.545;666;84.091;838;90.693;749;94.571;477;96.364;215;97.727;65;98.485;12;100.000;1;100.000;3562;87.240
5;36;54.545;147;66.818;294;59.394;472;59.596;562;60.823;488;61.616;316;63.838;133;60.455;41;62.121;8;66.667;1;100.000;2498;61.181
6;28;42.424;89;40.455;213;43.030;342;43.182;420;45.455;357;45.076;258;52.121;108;49.091;41;62.121;9;75.000;1;100.000;1866;45.702
7;7;10.606;12;5.455;11;2.222;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;33;0.808
8;22;33.333;86;39.091;198;40.000;350;44.192;442;47.835;423;53.409;287;57.980;152;69.091;49;74.242;9;75.000;1;100.000;2019;49.449
9;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
10;24;36.364;65;29.545;81;16.364;135;17.045;15;1.623;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;320;7.837
11;6;9.091;6;2.727;18;3.636;17;2.146;7;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;54;1.323
12;12;18.182;44;20.000;34;6.869;51;6.439;66;7.143;44;5.556;25;5.051;16;7.273;0;0.000;0;0.000;0;0.000;292;7.152
13;32;48.485;123;55.909;303;61.212;487;61.490;572;61.905;512;64.646;344;69.495;164;74.545;55;83.333;11;91.667;1;100.000;2604;63.777
14;16;24.242;56;25.455;165;33.333;330;41.667;462;50.000;462;58.333;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2053;50.282
15;6;9.091;9;4.091;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;0.465
16;38;57.576;104;47.273;184;37.172;239;30.177;216;23.377;116;14.646;8;1.616;0;0.000;0;0.000;0;0.000;0;0.000;905;22.165
17;22;33.333;45;20.455;107;21.616;112;14.141;56;6.061;5;0.631;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;347;8.499
18;11;16.667;55;25.000;165;33.333;330;41.667;458;49.567;195;24.621;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1214;29.733
