obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;9;13.636;37;16.818;75;15.152;93;11.742;70;7.576;31;3.914;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;319;7.813
1;12;18.182;47;21.364;102;20.606;130;16.414;110;11.905;72;9.091;42;8.485;13;5.909;2;3.030;0;0.000;0;0.000;530;12.981
2;2;3.030;7;3.182;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.245
3;2;3.030;4;1.818;6;1.212;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;0.343
4;18;27.273;86;39.091;241;48.687;442;55.808;604;65.368;594;75.000;416;84.040;203;92.273;64;96.970;12;100.000;1;100.000;2681;65.663
5;3;4.545;13;5.909;22;4.444;22;2.778;11;1.190;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;72;1.763
6;9;13.636;40;18.182;91;18.384;180;22.727;222;24.026;226;28.535;185;37.374;114;51.818;46;69.697;10;83.333;1;100.000;1124;27.529
8;2;3.030;9;4.091;16;3.232;29;3.662;37;4.004;41;5.177;35;7.071;18;8.182;5;7.576;1;8.333;0;0.000;193;4.727
9;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
10;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
11;2;3.030;3;1.364;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
13;9;13.636;37;16.818;109;22.020;214;27.020;295;31.926;282;35.606;188;37.980;87;39.545;28;42.424;4;33.333;0;0.000;1253;30.688
14;10;15.152;44;20.000;101;20.404;147;18.561;133;14.394;68;8.586;19;3.838;2;0.909;0;0.000;0;0.000;0;0.000;524;12.834
15;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
16;2;3.030;5;2.273;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;0.269
17;2;3.030;3;1.364;2;0.404;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
18;2;3.030;4;1.818;7;1.414;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
19;2;3.030;4;1.818;1;0.202;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
20;0;0.000;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
21;0;0.000;2;0.909;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
22;4;6.061;18;8.182;38;7.677;63;7.955;68;7.359;63;7.955;37;7.475;17;7.727;3;4.545;0;0.000;0;0.000;311;7.617
23;2;3.030;1;0.455;7;1.414;16;2.020;19;2.056;11;1.389;5;1.010;1;0.455;0;0.000;0;0.000;0;0.000;62;1.518
24;1;1.515;3;1.364;6;1.212;8;1.010;13;1.407;5;0.631;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;36;0.882
25;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
26;3;4.545;2;0.909;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.245
27;1;1.515;7;3.182;25;5.051;36;4.545;19;2.056;12;1.515;3;0.606;0;0.000;0;0.000;0;0.000;0;0.000;103;2.523
29;1;1.515;2;0.909;3;0.606;1;0.126;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.245
30;0;0.000;0;0.000;4;0.808;13;1.641;24;2.597;16;2.020;3;0.606;0;0.000;0;0.000;0;0.000;0;0.000;60;1.470
