obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;33;50.000;108;49.091;277;55.960;485;61.237;531;57.468;527;66.540;355;71.717;155;70.455;59;89.394;11;91.667;1;100.000;2542;62.258
1;14;21.212;57;25.909;167;33.737;326;41.162;452;48.918;408;51.515;282;56.970;89;40.455;19;28.788;6;50.000;0;0.000;1820;44.575
2;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
3;17;25.758;50;22.727;126;25.455;201;25.379;170;18.398;116;14.646;116;23.434;43;19.545;9;13.636;2;16.667;0;0.000;850;20.818
4;30;45.455;136;61.818;366;73.939;626;79.040;773;83.658;678;85.606;440;88.889;212;96.364;64;96.970;12;100.000;1;100.000;3338;81.754
5;30;45.455;110;50.000;244;49.293;413;52.146;518;56.061;510;64.394;305;61.616;154;70.000;40;60.606;9;75.000;1;100.000;2334;57.164
6;32;48.485;107;48.636;269;54.343;434;54.798;576;62.338;533;67.298;342;69.091;161;73.182;56;84.848;9;75.000;1;100.000;2520;61.719
7;3;4.545;4;1.818;0;0.000;1;0.126;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
8;22;33.333;86;39.091;210;42.424;309;39.015;456;49.351;408;51.515;246;49.697;92;41.818;39;59.091;4;33.333;0;0.000;1872;45.849
9;9;13.636;3;1.364;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
10;13;19.697;40;18.182;80;16.162;137;17.298;136;14.719;77;9.722;33;6.667;6;2.727;1;1.515;0;0.000;0;0.000;523;12.809
11;10;15.152;27;12.273;12;2.424;8;1.010;3;0.325;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;61;1.494
12;8;12.121;13;5.909;22;4.444;26;3.283;5;0.541;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;75;1.837
13;28;42.424;110;50.000;294;59.394;512;64.646;691;74.784;622;78.535;403;81.414;199;90.455;60;90.909;11;91.667;1;100.000;2931;71.785
14;14;21.212;63;28.636;165;33.333;330;41.667;453;49.026;429;54.167;299;60.404;123;55.909;51;77.273;4;33.333;1;100.000;1932;47.318
15;3;4.545;10;4.545;0;0.000;4;0.505;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;0.441
16;30;45.455;107;48.636;230;46.465;419;52.904;467;50.541;454;57.323;291;58.788;148;67.273;38;57.576;9;75.000;1;100.000;2194;53.735
17;13;19.697;41;18.636;80;16.162;146;18.434;187;20.238;94;11.869;56;11.313;17;7.727;9;13.636;1;8.333;0;0.000;644;15.773
18;11;16.667;55;25.000;142;28.687;161;20.328;45;4.870;17;2.146;4;0.808;1;0.455;0;0.000;0;0.000;0;0.000;436;10.678
19;15;22.727;35;15.909;38;7.677;37;4.672;54;5.844;26;3.283;14;2.828;1;0.455;1;1.515;0;0.000;0;0.000;221;5.413
20;21;31.818;56;25.455;93;18.788;140;17.677;136;14.719;119;15.025;66;13.333;14;6.364;7;10.606;0;0.000;0;0.000;652;15.969
21;10;15.152;33;15.000;50;10.101;40;5.051;67;7.251;14;1.768;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;218;5.339
22;22;33.333;83;37.727;196;39.596;272;34.343;360;38.961;336;42.424;230;46.465;111;50.455;26;39.394;9;75.000;0;0.000;1645;40.289
23;23;34.848;49;22.273;75;15.152;82;10.354;110;11.905;41;5.177;20;4.040;2;0.909;6;9.091;1;8.333;0;0.000;409;10.017
24;5;7.576;4;1.818;1;0.202;3;0.379;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;0.343
25;8;12.121;19;8.636;12;2.424;6;0.758;11;1.190;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;58;1.421
26;6;9.091;8;3.636;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;0.392
27;14;21.212;28;12.727;64;12.929;67;8.460;53;5.736;42;5.303;2;0.404;3;1.364;0;0.000;0;0.000;0;0.000;273;6.686
29;10;15.152;25;11.364;37;7.475;17;2.146;15;1.623;0;0.000;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;105;2.572
30;7;10.606;25;11.364;51;10.303;73;9.217;73;7.900;22;2.778;11;2.222;9;4.091;0;0.000;0;0.000;0;0.000;271;6.637
31;9;13.636;30;13.636;69;13.939;98;12.374;118;12.771;63;7.955;41;8.283;8;3.636;1;1.515;1;8.333;0;0.000;438;10.727
32;17;25.758;32;14.545;80;16.162;83;10.480;71;7.684;43;5.429;21;4.242;3;1.364;0;0.000;0;0.000;0;0.000;350;8.572
33;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
