obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;16;24.242;47;21.364;125;25.253;194;24.495;228;24.675;184;23.232;91;18.384;39;17.727;6;9.091;0;0.000;0;0.000;930;22.777
1;11;16.667;55;25.000;165;33.333;330;41.667;459;49.675;403;50.884;262;52.929;105;47.727;23;34.848;0;0.000;0;0.000;1813;44.404
3;4;6.061;9;4.091;8;1.616;5;0.631;4;0.433;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;0.759
4;30;45.455;136;61.818;347;70.101;572;72.222;730;79.004;654;82.576;442;89.293;209;95.000;65;98.485;12;100.000;1;100.000;3198;78.325
5;24;36.364;51;23.182;120;24.242;164;20.707;162;17.532;117;14.773;71;14.343;33;15.000;0;0.000;0;0.000;0;0.000;742;18.173
6;4;6.061;15;6.818;37;7.475;62;7.828;88;9.524;101;12.753;81;16.364;46;20.909;10;15.152;0;0.000;0;0.000;444;10.874
8;11;16.667;39;17.727;83;16.768;158;19.949;241;26.082;213;26.894;85;17.172;6;2.727;0;0.000;0;0.000;0;0.000;836;20.475
10;3;4.545;12;5.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;15;0.367
12;1;1.515;1;0.455;1;0.202;0;0.000;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
13;23;34.848;72;32.727;176;35.556;323;40.783;411;44.481;384;48.485;232;46.869;83;37.727;26;39.394;0;0.000;0;0.000;1730;42.371
14;11;16.667;55;25.000;165;33.333;330;41.667;462;50.000;461;58.207;316;63.838;141;64.091;34;51.515;1;8.333;0;0.000;1976;48.396
16;10;15.152;19;8.636;38;7.677;6;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;73;1.788
17;2;3.030;4;1.818;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
18;11;16.667;55;25.000;109;22.020;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;176;4.311
19;3;4.545;3;1.364;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
20;13;19.697;33;15.000;46;9.293;16;2.020;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;108;2.645
21;2;3.030;4;1.818;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
22;11;16.667;30;13.636;75;15.152;99;12.500;83;8.983;40;5.051;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;340;8.327
23;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
26;1;1.515;3;1.364;3;0.606;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
27;1;1.515;2;0.909;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
29;4;6.061;4;1.818;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
30;3;4.545;10;4.545;18;3.636;11;1.389;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;42;1.029
31;1;1.515;3;1.364;2;0.404;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
32;3;4.545;11;5.000;9;1.818;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;23;0.563
34;15;22.727;65;29.545;174;35.152;257;32.449;288;31.169;238;30.051;145;29.293;54;24.545;0;0.000;0;0.000;0;0.000;1236;30.272
35;20;30.303;84;38.182;201;40.606;384;48.485;528;57.143;494;62.374;358;72.323;182;82.727;61;92.424;11;91.667;1;100.000;2324;56.919
36;0;0.000;0;0.000;1;0.202;9;1.136;7;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
37;17;25.758;75;34.091;143;28.889;223;28.157;283;30.628;300;37.879;221;44.646;107;48.636;36;54.545;9;75.000;1;100.000;1415;34.656
38;3;4.545;7;3.182;8;1.616;15;1.894;10;1.082;5;0.631;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;48;1.176
39;5;7.576;11;5.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;0.392
41;1;1.515;4;1.818;1;0.202;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
42;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
43;7;10.606;28;12.727;104;21.010;145;18.308;180;19.481;198;25.000;76;15.354;23;10.455;0;0.000;0;0.000;0;0.000;761;18.638
44;11;16.667;55;25.000;165;33.333;257;32.449;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;489;11.976
45;1;1.515;2;0.909;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
46;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
47;3;4.545;7;3.182;16;3.232;8;1.010;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;34;0.833
48;17;25.758;45;20.455;100;20.202;180;22.727;267;28.896;273;34.470;191;38.586;106;48.182;41;62.121;7;58.333;0;0.000;1227;30.051
49;11;16.667;32;14.545;58;11.717;95;11.995;118;12.771;93;11.742;15;3.030;0;0.000;0;0.000;0;0.000;0;0.000;422;10.336
50;13;19.697;59;26.818;160;32.323;289;36.490;327;35.390;234;29.545;140;28.283;61;27.727;21;31.818;1;8.333;0;0.000;1305;31.962
52;13;19.697;56;25.455;165;33.333;319;40.278;391;42.316;272;34.343;116;23.434;4;1.818;0;0.000;0;0.000;0;0.000;1336;32.721
53;11;16.667;55;25.000;141;28.485;138;17.424;68;7.359;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;413;10.115
54;2;3.030;6;2.727;23;4.646;33;4.167;31;3.355;17;2.146;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;113;2.768
55;3;4.545;4;1.818;14;2.828;25;3.157;21;2.273;17;2.146;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;89;2.180
57;4;6.061;5;2.273;3;0.606;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;0.318
60;3;4.545;11;5.000;9;1.818;28;3.535;7;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;58;1.421
61;6;9.091;9;4.091;9;1.818;5;0.631;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;29;0.710
63;13;19.697;67;30.455;206;41.616;420;53.030;592;64.069;580;73.232;404;81.616;196;89.091;62;93.939;12;100.000;1;100.000;2553;62.528
64;0;0.000;1;0.455;1;0.202;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
65;0;0.000;1;0.455;3;0.606;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
67;11;16.667;55;25.000;128;25.859;113;14.268;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;308;7.543
