obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;30;45.455;86;39.091;217;43.838;366;46.212;327;35.390;342;43.182;207;41.818;122;55.455;52;78.788;4;33.333;1;100.000;1754;42.959
1;13;19.697;57;25.909;165;33.333;280;35.354;391;42.316;291;36.742;110;22.222;59;26.818;9;13.636;6;50.000;0;0.000;1381;33.823
2;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
3;12;18.182;40;18.182;74;14.949;140;17.677;72;7.792;75;9.470;94;18.990;18;8.182;3;4.545;0;0.000;0;0.000;528;12.932
4;30;45.455;136;61.818;334;67.475;540;68.182;722;78.139;649;81.944;408;82.424;200;90.909;62;93.939;12;100.000;1;100.000;3094;75.778
5;26;39.394;83;37.727;199;40.202;342;43.182;456;49.351;422;53.283;294;59.394;127;57.727;18;27.273;9;75.000;1;100.000;1977;48.420
6;25;37.879;86;39.091;205;41.414;334;42.172;373;40.368;384;48.485;243;49.091;91;41.364;43;65.152;10;83.333;0;0.000;1794;43.938
7;2;3.030;0;0.000;0;0.000;0;0.000;9;0.974;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;0.269
8;19;28.788;74;33.636;127;25.657;175;22.096;378;40.909;229;28.914;67;13.535;56;25.455;16;24.242;0;0.000;0;0.000;1141;27.945
9;5;7.576;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
10;10;15.152;23;10.455;54;10.909;57;7.197;85;9.199;32;4.040;16;3.232;8;3.636;1;1.515;0;0.000;0;0.000;286;7.005
11;6;9.091;15;6.818;3;0.606;1;0.126;6;0.649;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;34;0.833
12;5;7.576;4;1.818;8;1.616;16;2.020;1;0.108;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;35;0.857
13;24;36.364;90;40.909;251;50.707;428;54.040;648;70.130;538;67.929;337;68.081;183;83.182;57;86.364;9;75.000;1;100.000;2566;62.846
14;13;19.697;56;25.455;165;33.333;328;41.414;412;44.589;369;46.591;300;60.606;72;32.727;44;66.667;0;0.000;1;100.000;1760;43.106
15;3;4.545;2;0.909;1;0.202;1;0.126;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
16;26;39.394;73;33.182;164;33.131;302;38.131;348;37.662;322;40.657;182;36.768;118;53.636;32;48.485;5;41.667;1;100.000;1573;38.526
17;7;10.606;28;12.727;42;8.485;80;10.101;86;9.307;39;4.924;21;4.242;3;1.364;8;12.121;1;8.333;0;0.000;315;7.715
18;11;16.667;51;23.182;96;19.394;30;3.788;8;0.866;9;1.136;1;0.202;1;0.455;0;0.000;0;0.000;0;0.000;207;5.070
19;8;12.121;20;9.091;17;3.434;21;2.652;31;3.355;13;1.641;3;0.606;1;0.455;0;0.000;0;0.000;0;0.000;114;2.792
20;14;21.212;29;13.182;52;10.505;54;6.818;75;8.117;61;7.702;37;7.475;10;4.545;0;0.000;0;0.000;0;0.000;332;8.131
21;7;10.606;17;7.727;18;3.636;14;1.768;59;6.385;1;0.126;2;0.404;2;0.909;0;0.000;0;0.000;0;0.000;120;2.939
22;15;22.727;64;29.091;130;26.263;206;26.010;246;26.623;222;28.030;132;26.667;92;41.818;8;12.121;2;16.667;0;0.000;1117;27.357
23;8;12.121;32;14.545;19;3.838;19;2.399;89;9.632;8;1.010;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;179;4.384
24;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
25;5;7.576;7;3.182;4;0.808;0;0.000;7;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;23;0.563
26;2;3.030;2;0.909;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
27;8;12.121;17;7.727;45;9.091;42;5.303;24;2.597;31;3.914;5;1.010;5;2.273;0;0.000;0;0.000;0;0.000;177;4.335
29;6;9.091;21;9.545;17;3.434;8;1.010;4;0.433;0;0.000;0;0.000;1;0.455;0;0.000;0;0.000;0;0.000;57;1.396
30;5;7.576;16;7.273;26;5.253;36;4.545;35;3.788;7;0.884;20;4.040;3;1.364;1;1.515;0;0.000;0;0.000;149;3.649
31;6;9.091;18;8.182;36;7.273;57;7.197;77;8.333;21;2.652;21;4.242;8;3.636;1;1.515;0;0.000;0;0.000;245;6.000
32;9;13.636;29;13.182;46;9.293;57;7.197;49;5.303;33;4.167;17;3.434;2;0.909;0;0.000;0;0.000;0;0.000;242;5.927
33;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
34;18;27.273;75;34.091;177;35.758;309;39.015;237;25.649;231;29.167;204;41.212;49;22.273;34;51.515;0;0.000;1;100.000;1335;32.697
35;22;33.333;88;40.000;221;44.646;403;50.884;566;61.255;467;58.965;186;37.576;164;74.545;38;57.576;12;100.000;1;100.000;2168;53.098
36;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
37;24;36.364;77;35.000;152;30.707;289;36.490;275;29.762;126;15.909;173;34.949;66;30.000;23;34.848;5;41.667;0;0.000;1210;29.635
38;5;7.576;23;10.455;55;11.111;80;10.101;165;17.857;95;11.995;15;3.030;53;24.091;6;9.091;0;0.000;0;0.000;497;12.172
39;8;12.121;12;5.455;12;2.424;8;1.010;19;2.056;9;1.136;7;1.414;0;0.000;0;0.000;0;0.000;0;0.000;75;1.837
40;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
