obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
114;12;18.182;22;10.000;17;3.434;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;55;1.347
115;4;6.061;4;1.818;1;0.202;2;0.253;1;0.108;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;0.318
116;11;16.667;55;25.000;62;12.525;47;5.934;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;176;4.311
117;2;3.030;3;1.364;3;0.606;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
119;21;31.818;85;38.636;188;37.980;349;44.066;461;49.892;404;51.010;266;53.737;126;57.273;45;68.182;10;83.333;1;100.000;1956;47.906
120;17;25.758;72;32.727;193;38.990;189;23.864;92;9.957;80;10.101;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;643;15.748
121;24;36.364;82;37.273;172;34.747;259;32.702;278;30.087;248;31.313;177;35.758;99;45.000;28;42.424;6;50.000;0;0.000;1373;33.627
123;3;4.545;2;0.909;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
124;30;45.455;136;61.818;369;74.545;632;79.798;693;75.000;642;81.061;432;87.273;196;89.091;62;93.939;12;100.000;1;100.000;3205;78.496
125;11;16.667;55;25.000;44;8.889;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;110;2.694
127;19;28.788;75;34.091;181;36.566;262;33.081;240;25.974;136;17.172;33;6.667;2;0.909;0;0.000;0;0.000;0;0.000;948;23.218
128;15;22.727;24;10.909;56;11.313;71;8.965;49;5.303;56;7.071;25;5.051;0;0.000;0;0.000;0;0.000;0;0.000;296;7.250
129;11;16.667;55;25.000;88;17.778;119;15.025;115;12.446;68;8.586;24;4.848;1;0.455;0;0.000;0;0.000;0;0.000;481;11.781
