obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;38;57.576;126;57.273;319;64.444;562;70.960;640;69.264;603;76.136;403;81.414;175;79.545;61;92.424;11;91.667;1;100.000;2939;71.981
1;16;24.242;61;27.727;170;34.343;331;41.793;462;50.000;435;54.924;305;61.616;127;57.727;32;48.485;11;91.667;0;0.000;1950;47.759
2;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
3;23;34.848;67;30.455;175;35.354;283;35.732;239;25.866;203;25.631;183;36.970;70;31.818;25;37.879;2;16.667;0;0.000;1270;31.105
4;33;50.000;139;63.182;369;74.545;656;82.828;802;86.797;717;90.530;454;91.717;216;98.182;64;96.970;12;100.000;1;100.000;3463;84.815
5;34;51.515;132;60.000;295;59.596;486;61.364;590;63.853;572;72.222;346;69.899;176;80.000;49;74.242;11;91.667;1;100.000;2692;65.932
6;38;57.576;132;60.000;328;66.263;501;63.258;675;73.052;618;78.030;395;79.798;185;84.091;57;86.364;12;100.000;1;100.000;2942;72.055
7;8;12.121;12;5.455;4;0.808;5;0.631;6;0.649;0;0.000;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;36;0.882
8;25;37.879;97;44.091;237;47.879;371;46.843;527;57.035;467;58.965;297;60.000;125;56.818;46;69.697;9;75.000;0;0.000;2201;53.906
9;11;16.667;10;4.545;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;21;0.514
10;20;30.303;58;26.364;124;25.051;216;27.273;242;26.190;171;21.591;83;16.768;19;8.636;4;6.061;0;0.000;0;0.000;937;22.949
11;11;16.667;37;16.818;32;6.465;19;2.399;7;0.758;6;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;112;2.743
12;12;18.182;29;13.182;39;7.879;55;6.944;15;1.623;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;154;3.772
13;32;48.485;128;58.182;323;65.253;573;72.348;738;79.870;662;83.586;438;88.485;210;95.455;63;95.455;11;91.667;1;100.000;3179;77.859
14;17;25.758;68;30.909;168;33.939;331;41.793;461;49.892;454;57.323;322;65.051;147;66.818;54;81.818;8;66.667;1;100.000;2031;49.743
15;3;4.545;13;5.909;9;1.818;10;1.263;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;37;0.906
16;34;51.515;131;59.545;296;59.798;521;65.783;595;64.394;549;69.318;363;73.333;181;82.273;53;80.303;10;83.333;1;100.000;2734;66.961
17;19;28.788;58;26.364;129;26.061;212;26.768;288;31.169;191;24.116;114;23.030;46;20.909;20;30.303;3;25.000;0;0.000;1080;26.451
18;11;16.667;55;25.000;159;32.121;233;29.419;135;14.610;80;10.101;20;4.040;5;2.273;0;0.000;0;0.000;0;0.000;698;17.095
19;21;31.818;51;23.182;78;15.758;74;9.343;113;12.229;58;7.323;29;5.859;3;1.364;1;1.515;0;0.000;0;0.000;428;10.482
