obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;31;46.970;134;60.909;345;69.697;598;75.505;731;79.113;645;81.439;423;85.455;197;89.545;63;95.455;12;100.000;1;100.000;3180;77.884
1;14;21.212;71;32.273;197;39.798;364;45.960;479;51.840;469;59.217;327;66.061;162;73.636;54;81.818;11;91.667;1;100.000;2149;52.633
2;10;15.152;23;10.455;22;4.444;13;1.641;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;70;1.714
3;14;21.212;53;24.091;134;27.071;177;22.348;150;16.234;90;11.364;27;5.455;7;3.182;0;0.000;0;0.000;0;0.000;652;15.969
4;36;54.545;138;62.727;358;72.323;629;79.419;782;84.632;707;89.268;457;92.323;210;95.455;65;98.485;12;100.000;1;100.000;3395;83.150
5;26;39.394;100;45.455;216;43.636;333;42.045;351;37.987;248;31.313;109;22.020;30;13.636;4;6.061;0;0.000;0;0.000;1417;34.705
6;40;60.606;141;64.091;363;73.333;636;80.303;794;85.931;713;90.025;469;94.747;215;97.727;66;100.000;12;100.000;1;100.000;3450;84.497
7;12;18.182;24;10.909;24;4.848;23;2.904;23;2.489;8;1.010;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;114;2.792
8;27;40.909;94;42.727;245;49.495;483;60.985;637;68.939;588;74.242;387;78.182;179;81.364;58;87.879;11;91.667;1;100.000;2710;66.373
9;7;10.606;11;5.000;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;0.490
10;15;22.727;37;16.818;77;15.556;71;8.965;35;3.788;10;1.263;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;246;6.025
11;14;21.212;36;16.364;39;7.879;32;4.040;13;1.407;3;0.379;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;138;3.380
12;5;7.576;16;7.273;20;4.040;9;1.136;4;0.433;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;55;1.347
13;22;33.333;108;49.091;280;56.566;523;66.035;657;71.104;559;70.581;363;73.333;171;77.727;55;83.333;11;91.667;1;100.000;2750;67.352
14;21;31.818;83;37.727;224;45.253;400;50.505;501;54.221;467;58.965;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2258;55.302
15;7;10.606;19;8.636;25;5.051;28;3.535;15;1.623;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;98;2.400
16;18;27.273;44;20.000;89;17.980;177;22.348;220;23.810;186;23.485;100;20.202;38;17.273;9;13.636;1;8.333;0;0.000;882;21.602
17;9;13.636;46;20.909;133;26.869;277;34.975;400;43.290;385;48.611;258;52.121;117;53.182;40;60.606;9;75.000;1;100.000;1675;41.024
18;10;15.152;34;15.455;103;20.808;168;21.212;174;18.831;84;10.606;14;2.828;0;0.000;0;0.000;0;0.000;0;0.000;587;14.377
19;13;19.697;48;21.818;101;20.404;179;22.601;198;21.429;186;23.485;120;24.242;66;30.000;26;39.394;5;41.667;0;0.000;942;23.071
20;18;27.273;30;13.636;52;10.505;51;6.439;16;1.732;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;169;4.139
21;12;18.182;50;22.727;83;16.768;77;9.722;75;8.117;49;6.187;19;3.838;3;1.364;0;0.000;0;0.000;0;0.000;368;9.013
22;26;39.394;99;45.000;270;54.545;455;57.449;555;60.065;500;63.131;339;68.485;165;75.000;55;83.333;11;91.667;1;100.000;2476;60.642
23;30;45.455;91;41.364;211;42.626;345;43.561;416;45.022;402;50.758;295;59.596;157;71.364;53;80.303;11;91.667;1;100.000;2012;49.277
24;16;24.242;43;19.545;78;15.758;134;16.919;176;19.048;155;19.571;110;22.222;55;25.000;16;24.242;1;8.333;0;0.000;784;19.202
25;17;25.758;57;25.909;111;22.424;130;16.414;96;10.390;63;7.955;23;4.646;4;1.818;1;1.515;0;0.000;0;0.000;502;12.295
26;13;19.697;45;20.455;76;15.354;92;11.616;68;7.359;34;4.293;6;1.212;1;0.455;0;0.000;0;0.000;0;0.000;335;8.205
27;27;40.909;94;42.727;236;47.677;413;52.146;499;54.004;436;55.051;261;52.727;111;50.455;35;53.030;7;58.333;1;100.000;2120;51.923
28;2;3.030;7;3.182;5;1.010;2;0.253;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;0.441
29;11;16.667;37;16.818;95;19.192;192;24.242;274;29.654;287;36.237;227;45.859;122;55.455;45;68.182;10;83.333;1;100.000;1301;31.864
30;12;18.182;32;14.545;80;16.162;178;22.475;263;28.463;259;32.702;183;36.970;94;42.727;36;54.545;8;66.667;1;100.000;1146;28.068
31;12;18.182;42;19.091;96;19.394;151;19.066;163;17.641;109;13.763;44;8.889;11;5.000;1;1.515;0;0.000;0;0.000;629;15.405
32;17;25.758;28;12.727;75;15.152;139;17.551;171;18.506;145;18.308;77;15.556;21;9.545;3;4.545;0;0.000;0;0.000;676;16.556
33;17;25.758;35;15.909;56;11.313;56;7.071;37;4.004;18;2.273;4;0.808;1;0.455;0;0.000;0;0.000;0;0.000;224;5.486
34;25;37.879;89;40.455;200;40.404;268;33.838;273;29.545;204;25.758;95;19.192;21;9.545;2;3.030;0;0.000;0;0.000;1177;28.827
