obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
409;5;7.576;8;3.636;15;3.030;12;1.515;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;44;1.078
410;14;21.212;58;26.364;146;29.495;268;33.838;335;36.255;286;36.111;172;34.747;63;28.636;13;19.697;1;8.333;0;0.000;1356;33.211
411;8;12.121;25;11.364;47;9.495;66;8.333;69;7.468;44;5.556;17;3.434;2;0.909;0;0.000;0;0.000;0;0.000;278;6.809
412;15;22.727;47;21.364;150;30.303;322;40.657;470;50.866;472;59.596;326;65.859;152;69.091;43;65.152;8;66.667;1;100.000;2006;49.131
413;21;31.818;47;21.364;71;14.343;59;7.449;32;3.463;6;0.758;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;237;5.805
414;11;16.667;21;9.545;16;3.232;5;0.631;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;53;1.298
415;7;10.606;18;8.182;19;3.838;15;1.894;10;1.082;5;0.631;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;76;1.861
416;14;21.212;22;10.000;45;9.091;64;8.081;63;6.818;46;5.808;18;3.636;3;1.364;0;0.000;0;0.000;0;0.000;275;6.735
417;24;36.364;79;35.909;197;39.798;353;44.571;474;51.299;465;58.712;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2154;52.755
418;5;7.576;22;10.000;45;9.091;67;8.460;71;7.684;42;5.303;12;2.424;0;0.000;0;0.000;0;0.000;0;0.000;264;6.466
