obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;21;31.818;73;33.182;164;33.131;310;39.141;378;40.909;340;42.929;231;46.667;98;44.545;25;37.879;5;41.667;0;0.000;1645;40.289
1;13;19.697;55;25.000;165;33.333;330;41.667;462;50.000;462;58.333;316;63.838;153;69.545;44;66.667;9;75.000;0;0.000;2009;49.204
3;10;15.152;31;14.091;45;9.091;48;6.061;24;2.597;20;2.525;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;183;4.482
4;30;45.455;136;61.818;369;74.545;647;81.692;775;83.874;707;89.268;447;90.303;209;95.000;65;98.485;12;100.000;1;100.000;3398;83.223
5;32;48.485;78;35.455;179;36.162;314;39.646;322;34.848;239;30.177;151;30.505;59;26.818;21;31.818;4;33.333;0;0.000;1399;34.264
6;9;13.636;39;17.727;90;18.182;137;17.298;188;20.346;175;22.096;129;26.061;74;33.636;31;46.970;6;50.000;1;100.000;879;21.528
8;16;24.242;56;25.455;137;27.677;240;30.303;306;33.117;317;40.025;209;42.222;80;36.364;11;16.667;0;0.000;0;0.000;1372;33.603
10;12;18.182;19;8.636;27;5.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;58;1.421
11;1;1.515;2;0.909;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
12;8;12.121;3;1.364;9;1.818;6;0.758;6;0.649;10;1.263;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;42;1.029
13;25;37.879;94;42.727;220;44.444;368;46.465;477;51.623;440;55.556;307;62.020;140;63.636;46;69.697;8;66.667;1;100.000;2126;52.070
14;11;16.667;55;25.000;165;33.333;330;41.667;462;50.000;462;58.333;330;66.667;165;75.000;54;81.818;11;91.667;1;100.000;2046;50.110
15;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
16;21;31.818;45;20.455;66;13.333;83;10.480;26;2.814;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;241;5.903
17;6;9.091;20;9.091;13;2.626;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;40;0.980
18;11;16.667;55;25.000;165;33.333;236;29.798;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;471;11.536
19;11;16.667;15;6.818;17;3.434;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;43;1.053
20;16;24.242;69;31.364;104;21.010;103;13.005;32;3.463;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;324;7.935
21;4;6.061;13;5.909;21;4.242;16;2.020;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;57;1.396
22;17;25.758;57;25.909;136;27.475;212;26.768;231;25.000;164;20.707;72;14.545;13;5.909;0;0.000;0;0.000;0;0.000;902;22.092
23;6;9.091;10;4.545;6;1.212;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;25;0.612
25;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
26;3;4.545;5;2.273;19;3.838;20;2.525;11;1.190;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;59;1.445
27;3;4.545;5;2.273;5;1.010;7;0.884;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;0.539
28;0;0.000;0;0.000;0;0.000;2;0.253;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
29;11;16.667;13;5.909;12;2.424;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;39;0.955
30;7;10.606;15;6.818;44;8.889;57;7.197;29;3.139;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;154;3.772
31;5;7.576;10;4.545;15;3.030;11;1.389;15;1.623;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;57;1.396
