obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;18;27.273;80;36.364;212;42.828;365;46.086;427;46.212;358;45.202;217;43.838;84;38.182;19;28.788;2;16.667;0;0.000;1782;43.644
1;16;24.242;67;30.455;176;35.556;304;38.384;346;37.446;250;31.566;97;19.596;19;8.636;1;1.515;0;0.000;0;0.000;1276;31.252
2;13;19.697;20;9.091;26;5.253;11;1.389;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;72;1.763
3;12;18.182;37;16.818;79;15.960;128;16.162;94;10.173;34;4.293;11;2.222;2;0.909;0;0.000;0;0.000;0;0.000;397;9.723
4;23;34.848;102;46.364;266;53.737;483;60.985;599;64.827;549;69.318;374;75.556;175;79.545;55;83.333;11;91.667;1;100.000;2638;64.609
5;15;22.727;53;24.091;108;21.818;133;16.793;106;11.472;48;6.061;17;3.434;2;0.909;0;0.000;0;0.000;0;0.000;482;11.805
6;20;30.303;102;46.364;283;57.172;525;66.288;682;73.810;637;80.429;424;85.657;202;91.818;64;96.970;12;100.000;1;100.000;2952;72.300
7;5;7.576;15;6.818;9;1.818;3;0.379;3;0.325;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;36;0.882
8;9;13.636;43;19.545;107;21.616;173;21.843;260;28.139;278;35.101;205;41.414;94;42.727;23;34.848;4;33.333;1;100.000;1197;29.317
9;5;7.576;7;3.182;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
10;8;12.121;24;10.909;44;8.889;52;6.566;49;5.303;28;3.535;9;1.818;1;0.455;0;0.000;0;0.000;0;0.000;215;5.266
11;6;9.091;29;13.182;34;6.869;32;4.040;15;1.623;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;119;2.915
12;3;4.545;6;2.727;14;2.828;10;1.263;3;0.325;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;37;0.906
13;9;13.636;56;25.455;179;36.162;361;45.581;467;50.541;399;50.379;246;49.697;105;47.727;26;39.394;3;25.000;0;0.000;1851;45.334
14;14;21.212;31;14.091;90;18.182;139;17.551;148;16.017;106;13.384;49;9.899;13;5.909;2;3.030;0;0.000;0;0.000;592;14.499
15;3;4.545;8;3.636;14;2.828;13;1.641;10;1.082;3;0.379;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;53;1.298
16;7;10.606;16;7.273;12;2.424;8;1.010;5;0.541;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;49;1.200
17;7;10.606;15;6.818;39;7.879;57;7.197;74;8.009;81;10.227;68;13.737;40;18.182;14;21.212;2;16.667;0;0.000;397;9.723
18;6;9.091;14;6.364;30;6.061;54;6.818;58;6.277;33;4.167;12;2.424;1;0.455;0;0.000;0;0.000;0;0.000;208;5.094
19;12;18.182;22;10.000;40;8.081;50;6.313;67;7.251;59;7.449;29;5.859;4;1.818;1;1.515;0;0.000;0;0.000;284;6.956
20;7;10.606;10;4.545;10;2.020;7;0.884;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;34;0.833
21;8;12.121;18;8.182;42;8.485;41;5.177;32;3.463;19;2.399;6;1.212;0;0.000;0;0.000;0;0.000;0;0.000;166;4.066
22;12;18.182;53;24.091;149;30.101;256;32.323;320;34.632;291;36.742;195;39.394;100;45.455;39;59.091;10;83.333;1;100.000;1426;34.925
23;18;27.273;52;23.636;102;20.606;168;21.212;195;21.104;146;18.434;71;14.343;19;8.636;2;3.030;0;0.000;0;0.000;773;18.932
24;10;15.152;26;11.818;56;11.313;107;13.510;134;14.502;116;14.646;74;14.949;31;14.091;8;12.121;1;8.333;0;0.000;563;13.789
25;9;13.636;32;14.545;60;12.121;63;7.955;36;3.896;15;1.894;4;0.808;1;0.455;0;0.000;0;0.000;0;0.000;220;5.388
26;12;18.182;30;13.636;50;10.101;76;9.596;86;9.307;72;9.091;33;6.667;12;5.455;2;3.030;0;0.000;0;0.000;373;9.135
27;12;18.182;49;22.273;145;29.293;259;32.702;354;38.312;334;42.172;234;47.273;117;53.182;35;53.030;6;50.000;0;0.000;1545;37.840
28;1;1.515;3;1.364;1;0.202;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
29;6;9.091;17;7.727;44;8.889;70;8.838;76;8.225;73;9.217;45;9.091;23;10.455;9;13.636;4;33.333;1;100.000;368;9.013
30;3;4.545;15;6.818;26;5.253;60;7.576;94;10.173;102;12.879;78;15.758;41;18.636;13;19.697;0;0.000;0;0.000;432;10.580
31;6;9.091;19;8.636;40;8.081;60;7.576;58;6.277;41;5.177;17;3.434;6;2.727;1;1.515;0;0.000;0;0.000;248;6.074
32;4;6.061;8;3.636;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;0.392
33;5;7.576;27;12.273;40;8.081;42;5.303;35;3.788;16;2.020;6;1.212;1;0.455;0;0.000;0;0.000;0;0.000;172;4.213
34;9;13.636;34;15.455;67;13.535;101;12.753;113;12.229;84;10.606;36;7.273;7;3.182;1;1.515;0;0.000;0;0.000;452;11.070
35;12;18.182;62;28.182;172;34.747;319;40.278;417;45.130;380;47.980;236;47.677;105;47.727;35;53.030;7;58.333;1;100.000;1746;42.763
36;4;6.061;13;5.909;25;5.051;40;5.051;40;4.329;28;3.535;9;1.818;3;1.364;0;0.000;0;0.000;0;0.000;162;3.968
37;10;15.152;45;20.455;151;30.505;275;34.722;346;37.446;289;36.490;156;31.515;45;20.455;5;7.576;0;0.000;0;0.000;1322;32.378
38;6;9.091;25;11.364;66;13.333;131;16.540;155;16.775;172;21.717;120;24.242;55;25.000;15;22.727;2;16.667;0;0.000;747;18.295
39;4;6.061;14;6.364;13;2.626;5;0.631;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;36;0.882
40;1;1.515;3;1.364;3;0.606;0;0.000;1;0.108;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.245
41;2;3.030;1;0.455;0;0.000;1;0.126;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
42;4;6.061;6;2.727;10;2.020;8;1.010;5;0.541;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;33;0.808
43;11;16.667;42;19.091;70;14.141;85;10.732;79;8.550;33;4.167;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;324;7.935
44;5;7.576;7;3.182;17;3.434;36;4.545;71;7.684;94;11.869;72;14.545;36;16.364;9;13.636;1;8.333;0;0.000;348;8.523
45;6;9.091;15;6.818;30;6.061;44;5.556;42;4.545;25;3.157;9;1.818;1;0.455;0;0.000;0;0.000;0;0.000;172;4.213
46;16;24.242;77;35.000;199;40.202;275;34.722;272;29.437;223;28.157;143;28.889;48;21.818;7;10.606;0;0.000;0;0.000;1260;30.860
47;5;7.576;29;13.182;55;11.111;45;5.682;27;2.922;24;3.030;14;2.828;2;0.909;0;0.000;0;0.000;0;0.000;201;4.923
48;9;13.636;52;23.636;131;26.465;211;26.641;249;26.948;194;24.495;108;21.818;40;18.182;4;6.061;1;8.333;0;0.000;999;24.467
49;10;15.152;35;15.909;83;16.768;159;20.076;222;24.026;214;27.020;137;27.677;71;32.273;23;34.848;5;41.667;1;100.000;960;23.512
50;32;48.485;131;59.545;326;65.859;535;67.551;642;69.481;564;71.212;362;73.131;170;77.273;55;83.333;11;91.667;1;100.000;2829;69.287
51;9;13.636;21;9.545;22;4.444;11;1.389;3;0.325;3;0.379;5;1.010;2;0.909;1;1.515;0;0.000;0;0.000;77;1.886
52;14;21.212;52;23.636;143;28.889;266;33.586;301;32.576;227;28.662;111;22.424;32;14.545;3;4.545;0;0.000;0;0.000;1149;28.141
53;15;22.727;71;32.273;174;35.152;259;32.702;260;28.139;161;20.328;67;13.535;9;4.091;1;1.515;0;0.000;0;0.000;1017;24.908
54;12;18.182;37;16.818;91;18.384;122;15.404;81;8.766;24;3.030;7;1.414;1;0.455;0;0.000;0;0.000;0;0.000;375;9.184
55;6;9.091;11;5.000;15;3.030;10;1.263;6;0.649;8;1.010;6;1.212;2;0.909;0;0.000;0;0.000;0;0.000;64;1.567
56;5;7.576;6;2.727;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;0.318
57;12;18.182;55;25.000;121;24.444;200;25.253;202;21.861;142;17.929;60;12.121;19;8.636;3;4.545;0;0.000;0;0.000;814;19.936
58;3;4.545;8;3.636;15;3.030;10;1.263;8;0.866;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;47;1.151
59;5;7.576;5;2.273;8;1.616;8;1.010;4;0.433;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;0.759
60;8;12.121;28;12.727;91;18.384;146;18.434;203;21.970;186;23.485;128;25.859;63;28.636;21;31.818;3;25.000;0;0.000;877;21.479
61;13;19.697;45;20.455;77;15.556;101;12.753;83;8.983;48;6.061;15;3.030;4;1.818;0;0.000;0;0.000;0;0.000;386;9.454
62;1;1.515;2;0.909;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
63;12;18.182;46;20.909;136;27.475;251;31.692;262;28.355;188;23.737;105;21.212;36;16.364;8;12.121;1;8.333;0;0.000;1045;25.594
64;8;12.121;31;14.091;83;16.768;96;12.121;87;9.416;48;6.061;14;2.828;1;0.455;1;1.515;0;0.000;0;0.000;369;9.037
65;9;13.636;18;8.182;22;4.444;32;4.040;46;4.978;67;8.460;64;12.929;46;20.909;23;34.848;4;33.333;0;0.000;331;8.107
66;2;3.030;2;0.909;9;1.818;5;0.631;3;0.325;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;0.539
67;9;13.636;29;13.182;72;14.545;131;16.540;163;17.641;151;19.066;97;19.596;40;18.182;8;12.121;0;0.000;0;0.000;700;17.144
68;7;10.606;14;6.364;19;3.838;14;1.768;6;0.649;3;0.379;3;0.606;0;0.000;0;0.000;0;0.000;0;0.000;66;1.616
69;6;9.091;30;13.636;49;9.899;36;4.545;36;3.896;32;4.040;16;3.232;2;0.909;0;0.000;0;0.000;0;0.000;207;5.070
70;6;9.091;22;10.000;14;2.828;9;1.136;9;0.974;3;0.379;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;64;1.567
71;8;12.121;7;3.182;12;2.424;11;1.389;16;1.732;15;1.894;6;1.212;1;0.455;0;0.000;0;0.000;0;0.000;76;1.861
72;17;25.758;88;40.000;193;38.990;319;40.278;330;35.714;256;32.323;149;30.101;61;27.727;16;24.242;2;16.667;0;0.000;1431;35.048
73;7;10.606;28;12.727;95;19.192;210;26.515;331;35.823;360;45.455;268;54.141;135;61.364;46;69.697;10;83.333;1;100.000;1491;36.517
74;9;13.636;18;8.182;34;6.869;59;7.449;94;10.173;108;13.636;71;14.343;31;14.091;9;13.636;1;8.333;0;0.000;434;10.629
75;11;16.667;28;12.727;91;18.384;162;20.455;219;23.701;202;25.505;136;27.475;54;24.545;12;18.182;2;16.667;0;0.000;917;22.459
76;7;10.606;25;11.364;67;13.535;137;17.298;206;22.294;215;27.146;156;31.515;68;30.909;16;24.242;2;16.667;0;0.000;899;22.018
77;21;31.818;73;33.182;158;31.919;239;30.177;323;34.957;327;41.288;245;49.495;126;57.273;43;65.152;9;75.000;1;100.000;1565;38.330
