obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;16;24.242;69;31.364;161;32.525;248;31.313;259;28.030;205;25.884;102;20.606;30;13.636;8;12.121;1;8.333;0;0.000;1099;26.916
1;12;18.182;61;27.727;164;33.131;298;37.626;344;37.229;265;33.460;141;28.485;55;25.000;9;13.636;1;8.333;0;0.000;1350;33.064
2;6;9.091;12;5.455;6;1.212;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;27;0.661
3;5;7.576;25;11.364;34;6.869;24;3.030;8;0.866;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;97;2.376
4;23;34.848;101;45.909;281;56.768;527;66.540;691;74.784;656;82.828;443;89.495;208;94.545;65;98.485;12;100.000;1;100.000;3008;73.671
5;8;12.121;36;16.364;69;13.939;95;11.995;75;8.117;25;3.157;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;312;7.641
6;22;33.333;83;37.727;199;40.202;358;45.202;464;50.216;449;56.692;315;63.636;160;72.727;53;80.303;11;91.667;1;100.000;2115;51.800
7;2;3.030;2;0.909;1;0.202;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
8;10;15.152;30;13.636;73;14.747;140;17.677;214;23.160;241;30.429;185;37.374;101;45.909;39;59.091;9;75.000;1;100.000;1043;25.545
9;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
10;3;4.545;6;2.727;10;2.020;8;1.010;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;29;0.710
11;5;7.576;4;1.818;7;1.414;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;0.465
