obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;26;39.394;87;39.545;215;43.434;393;49.621;407;44.048;385;48.611;282;56.970;117;53.182;51;77.273;10;83.333;1;100.000;1974;48.347
1;12;18.182;56;25.455;165;33.333;330;41.667;414;44.805;371;46.843;270;54.545;87;39.545;9;13.636;1;8.333;0;0.000;1715;42.003
2;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
3;9;13.636;33;15.000;72;14.545;79;9.975;100;10.823;49;6.187;45;9.091;11;5.000;1;1.515;0;0.000;0;0.000;399;9.772
4;30;45.455;136;61.818;360;72.727;573;72.348;700;75.758;614;77.525;413;83.434;203;92.273;62;93.939;12;100.000;1;100.000;3104;76.023
5;28;42.424;87;39.545;205;41.414;347;43.813;472;51.082;425;53.662;242;48.889;122;55.455;35;53.030;8;66.667;1;100.000;1972;48.298
6;25;37.879;82;37.273;192;38.788;351;44.318;421;45.563;384;48.485;251;50.707;109;49.545;40;60.606;9;75.000;1;100.000;1865;45.677
7;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
8;19;28.788;72;32.727;165;33.333;237;29.924;321;34.740;334;42.172;205;41.414;80;36.364;29;43.939;1;8.333;0;0.000;1463;35.831
9;6;9.091;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
10;12;18.182;29;13.182;55;11.111;73;9.217;57;6.169;12;1.515;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;239;5.854
11;8;12.121;6;2.727;2;0.404;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
12;6;9.091;4;1.818;8;1.616;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;0.539
13;25;37.879;103;46.818;260;52.525;463;58.460;639;69.156;578;72.980;363;73.333;182;82.727;56;84.848;11;91.667;1;100.000;2681;65.663
14;13;19.697;55;25.000;165;33.333;330;41.667;449;48.593;436;55.051;297;60.000;106;48.182;46;69.697;2;16.667;1;100.000;1900;46.534
15;1;1.515;2;0.909;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
16;25;37.879;85;38.636;175;35.354;318;40.152;380;41.126;339;42.803;204;41.212;105;47.727;31;46.970;5;41.667;1;100.000;1668;40.852
17;8;12.121;29;13.182;45;9.091;80;10.101;81;8.766;24;3.030;13;2.626;4;1.818;1;1.515;0;0.000;0;0.000;285;6.980
18;11;16.667;55;25.000;118;23.838;45;5.682;5;0.541;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;234;5.731
19;8;12.121;24;10.909;15;3.030;28;3.535;12;1.299;5;0.631;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;92;2.253
20;14;21.212;39;17.727;70;14.141;74;9.343;66;7.143;50;6.313;39;7.879;6;2.727;1;1.515;0;0.000;0;0.000;359;8.793
21;4;6.061;19;8.636;27;5.455;16;2.020;23;2.489;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;89;2.180
22;15;22.727;55;25.000;134;27.071;191;24.116;209;22.619;180;22.727;135;27.273;62;28.182;10;15.152;1;8.333;0;0.000;992;24.296
23;13;19.697;15;6.818;26;5.253;29;3.662;24;2.597;4;0.505;7;1.414;0;0.000;0;0.000;0;0.000;0;0.000;118;2.890
24;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
25;4;6.061;8;3.636;2;0.404;1;0.126;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
