obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;6;9.091;22;10.000;42;8.485;47;5.934;38;4.113;17;2.146;3;0.606;0;0.000;0;0.000;0;0.000;0;0.000;175;4.286
1;11;16.667;55;25.000;165;33.333;271;34.217;312;33.766;208;26.263;81;16.364;0;0.000;0;0.000;0;0.000;0;0.000;1103;27.014
4;30;45.455;111;50.455;274;55.354;480;60.606;658;71.212;637;80.429;422;85.253;196;89.091;63;95.455;12;100.000;1;100.000;2884;70.634
5;6;9.091;24;10.909;37;7.475;38;4.798;31;3.355;30;3.788;9;1.818;0;0.000;0;0.000;0;0.000;0;0.000;175;4.286
6;0;0.000;2;0.909;8;1.616;17;2.146;29;3.139;25;3.157;7;1.414;1;0.455;0;0.000;0;0.000;0;0.000;89;2.180
8;4;6.061;12;5.455;46;9.293;102;12.879;46;4.978;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;213;5.217
10;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
13;13;19.697;56;25.455;132;26.667;227;28.662;201;21.753;162;20.455;65;13.131;4;1.818;0;0.000;0;0.000;0;0.000;860;21.063
14;11;16.667;55;25.000;165;33.333;330;41.667;412;44.589;237;29.924;73;14.747;4;1.818;0;0.000;0;0.000;0;0.000;1287;31.521
16;2;3.030;5;2.273;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
