obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
238;1;1.515;2;0.909;0;0.000;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
239;19;28.788;77;35.000;165;33.333;231;29.167;369;39.935;283;35.732;174;35.152;113;51.364;29;43.939;4;33.333;0;0.000;1464;35.856
240;14;21.212;60;27.273;154;31.111;279;35.227;380;41.126;284;35.859;142;28.687;51;23.182;14;21.212;1;8.333;0;0.000;1379;33.774
241;11;16.667;45;20.455;94;18.990;100;12.626;62;6.710;7;0.884;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;321;7.862
242;4;6.061;5;2.273;10;2.020;0;0.000;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;0.539
243;12;18.182;57;25.909;105;21.212;122;15.404;124;13.420;107;13.510;38;7.677;15;6.818;3;4.545;0;0.000;0;0.000;583;14.279
244;6;9.091;18;8.182;52;10.505;63;7.955;16;1.732;1;0.126;7;1.414;0;0.000;0;0.000;0;0.000;0;0.000;163;3.992
245;1;1.515;3;1.364;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
246;4;6.061;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
247;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
248;18;27.273;57;25.909;128;25.859;193;24.369;237;25.649;270;34.091;133;26.869;59;26.818;17;25.758;0;0.000;0;0.000;1112;27.235
250;3;4.545;1;0.455;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
252;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
253;9;13.636;13;5.909;33;6.667;40;5.051;66;7.143;42;5.303;18;3.636;10;4.545;0;0.000;0;0.000;0;0.000;231;5.658
255;17;25.758;61;27.727;151;30.505;229;28.914;312;33.766;283;35.732;129;26.061;101;45.909;17;25.758;6;50.000;0;0.000;1306;31.986
257;11;16.667;26;11.818;32;6.465;97;12.247;14;1.515;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;181;4.433
258;1;1.515;0;0.000;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
259;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
261;19;28.788;64;29.091;118;23.838;208;26.263;207;22.403;128;16.162;93;18.788;66;30.000;24;36.364;0;0.000;0;0.000;927;22.704
264;11;16.667;55;25.000;80;16.162;42;5.303;36;3.896;10;1.263;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;234;5.731
266;0;0.000;1;0.455;0;0.000;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
267;0;0.000;0;0.000;2;0.404;1;0.126;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
268;7;10.606;12;5.455;11;2.222;6;0.758;9;0.974;10;1.263;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;57;1.396
269;2;3.030;5;2.273;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
270;15;22.727;64;29.091;176;35.556;304;38.384;361;39.069;378;47.727;236;47.677;108;49.091;36;54.545;10;83.333;1;100.000;1689;41.367
271;12;18.182;55;25.000;100;20.202;166;20.960;204;22.078;122;15.404;49;9.899;39;17.727;7;10.606;0;0.000;0;0.000;754;18.467
272;3;4.545;7;3.182;6;1.212;8;1.010;3;0.325;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;29;0.710
273;1;1.515;3;1.364;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
274;7;10.606;20;9.091;34;6.869;84;10.606;19;2.056;9;1.136;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;178;4.360
275;9;13.636;15;6.818;15;3.030;18;2.273;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;59;1.445
276;3;4.545;9;4.091;7;1.414;21;2.652;16;1.732;7;0.884;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;64;1.567
277;0;0.000;2;0.909;6;1.212;4;0.505;0;0.000;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;0.343
278;3;4.545;14;6.364;40;8.081;54;6.818;40;4.329;28;3.535;12;2.424;0;0.000;0;0.000;0;0.000;0;0.000;191;4.678
280;3;4.545;13;5.909;19;3.838;28;3.535;12;1.299;11;1.389;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;86;2.106
281;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
282;1;1.515;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
283;11;16.667;41;18.636;95;19.192;65;8.207;16;1.732;6;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;234;5.731
284;21;31.818;80;36.364;174;35.152;224;28.283;280;30.303;294;37.121;184;37.172;110;50.000;22;33.333;5;41.667;0;0.000;1394;34.142
285;5;7.576;14;6.364;39;7.879;39;4.924;39;4.221;13;1.641;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;151;3.698
288;9;13.636;26;11.818;51;10.303;77;9.722;47;5.087;24;3.030;8;1.616;0;0.000;0;0.000;0;0.000;0;0.000;242;5.927
289;3;4.545;13;5.909;27;5.455;51;6.439;70;7.576;53;6.692;8;1.616;4;1.818;0;0.000;0;0.000;0;0.000;229;5.609
290;8;12.121;18;8.182;27;5.455;10;1.263;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;66;1.616
291;7;10.606;26;11.818;52;10.505;100;12.626;121;13.095;82;10.354;70;14.141;7;3.182;4;6.061;2;16.667;0;0.000;471;11.536
292;13;19.697;51;23.182;130;26.263;208;26.263;186;20.130;171;21.591;127;25.657;42;19.091;13;19.697;5;41.667;1;100.000;947;23.194
293;12;18.182;48;21.818;114;23.030;153;19.318;110;11.905;62;7.828;33;6.667;2;0.909;6;9.091;0;0.000;0;0.000;540;13.226
294;3;4.545;7;3.182;10;2.020;15;1.894;4;0.433;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;40;0.980
296;20;30.303;87;39.545;183;36.970;298;37.626;322;34.848;280;35.354;211;42.626;76;34.545;27;40.909;3;25.000;1;100.000;1508;36.934
297;16;24.242;76;34.545;198;40.000;358;45.202;465;50.325;415;52.399;339;68.485;163;74.091;49;74.242;10;83.333;1;100.000;2090;51.188
299;27;40.909;96;43.636;239;48.283;457;57.702;585;63.312;535;67.551;399;80.606;173;78.636;59;89.394;11;91.667;1;100.000;2582;63.238
301;6;9.091;9;4.091;36;7.273;33;4.167;42;4.545;24;3.030;13;2.626;0;0.000;1;1.515;0;0.000;0;0.000;164;4.017
302;15;22.727;64;29.091;178;35.960;332;41.919;445;48.160;377;47.601;263;53.131;122;55.455;38;57.576;10;83.333;1;100.000;1845;45.187
303;2;3.030;3;1.364;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
304;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
305;26;39.394;88;40.000;213;43.030;377;47.601;456;49.351;436;55.051;275;55.556;130;59.091;37;56.061;3;25.000;1;100.000;2042;50.012
306;23;34.848;90;40.909;245;49.495;414;52.273;516;55.844;548;69.192;345;69.697;180;81.818;57;86.364;12;100.000;1;100.000;2431;59.540
308;10;15.152;35;15.909;70;14.141;80;10.101;151;16.342;117;14.773;20;4.040;14;6.364;0;0.000;0;0.000;0;0.000;497;12.172
309;7;10.606;20;9.091;56;11.313;84;10.606;92;9.957;99;12.500;25;5.051;17;7.727;0;0.000;0;0.000;0;0.000;400;9.797
310;11;16.667;50;22.727;94;18.990;66;8.333;19;2.056;11;1.389;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;252;6.172
311;19;28.788;56;25.455;138;27.879;215;27.146;345;37.338;351;44.318;190;38.384;89;40.455;28;42.424;2;16.667;1;100.000;1434;35.121
312;23;34.848;97;44.091;263;53.131;463;58.460;601;65.043;574;72.475;343;69.293;195;88.636;62;93.939;12;100.000;1;100.000;2634;64.511
313;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
314;2;3.030;8;3.636;11;2.222;12;1.515;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;37;0.906
315;3;4.545;12;5.455;14;2.828;38;4.798;19;2.056;8;1.010;4;0.808;0;0.000;2;3.030;0;0.000;0;0.000;100;2.449
316;2;3.030;2;0.909;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
317;4;6.061;12;5.455;19;3.838;33;4.167;48;5.195;37;4.672;13;2.626;8;3.636;0;0.000;1;8.333;0;0.000;175;4.286
318;6;9.091;18;8.182;15;3.030;18;2.273;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;57;1.396
319;9;13.636;14;6.364;41;8.283;103;13.005;29;3.139;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;198;4.849
320;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
321;5;7.576;14;6.364;21;4.242;37;4.672;27;2.922;20;2.525;8;1.616;1;0.455;0;0.000;0;0.000;0;0.000;133;3.257
322;14;21.212;41;18.636;85;17.172;76;9.596;89;9.632;55;6.944;69;13.939;8;3.636;1;1.515;0;0.000;0;0.000;438;10.727
323;6;9.091;9;4.091;2;0.404;0;0.000;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;0.465
328;14;21.212;37;16.818;90;18.182;168;21.212;216;23.377;202;25.505;145;29.293;21;9.545;13;19.697;4;33.333;0;0.000;910;22.288
329;2;3.030;0;0.000;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
330;20;30.303;78;35.455;182;36.768;315;39.773;366;39.610;321;40.530;223;45.051;105;47.727;24;36.364;6;50.000;1;100.000;1641;40.191
332;22;33.333;84;38.182;190;38.384;333;42.045;366;39.610;325;41.035;227;45.859;95;43.182;26;39.394;7;58.333;1;100.000;1676;41.048
333;13;19.697;57;25.909;145;29.293;224;28.283;171;18.506;127;16.035;72;14.545;29;13.182;12;18.182;0;0.000;0;0.000;850;20.818
334;1;1.515;0;0.000;2;0.404;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
336;17;25.758;60;27.273;158;31.919;280;35.354;342;37.013;311;39.268;227;45.859;127;57.727;28;42.424;5;41.667;1;100.000;1556;38.109
337;14;21.212;48;21.818;98;19.798;137;17.298;136;14.719;187;23.611;95;19.192;51;23.182;11;16.667;3;25.000;0;0.000;780;19.104
340;19;28.788;82;37.273;221;44.646;397;50.126;516;55.844;499;63.005;367;74.141;176;80.000;55;83.333;11;91.667;1;100.000;2344;57.409
341;5;7.576;10;4.545;27;5.455;24;3.030;1;0.108;3;0.379;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;71;1.739
343;13;19.697;41;18.636;107;21.616;153;19.318;165;17.857;136;17.172;44;8.889;8;3.636;9;13.636;0;0.000;0;0.000;676;16.556
344;1;1.515;1;0.455;0;0.000;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
346;1;1.515;7;3.182;13;2.626;6;0.758;6;0.649;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;34;0.833
347;2;3.030;8;3.636;4;0.808;5;0.631;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;0.490
348;10;15.152;29;13.182;35;7.071;21;2.652;11;1.190;13;1.641;1;0.202;1;0.455;0;0.000;0;0.000;0;0.000;121;2.964
349;2;3.030;5;2.273;3;0.606;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
350;21;31.818;82;37.273;160;32.323;312;39.394;334;36.147;283;35.732;175;35.354;104;47.273;39;59.091;4;33.333;0;0.000;1514;37.081
351;17;25.758;66;30.000;133;26.869;172;21.717;198;21.429;210;26.515;105;21.212;53;24.091;16;24.242;1;8.333;0;0.000;971;23.782
352;2;3.030;2;0.909;3;0.606;5;0.631;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;0.343
357;21;31.818;95;43.182;248;50.101;475;59.975;617;66.775;590;74.495;378;76.364;171;77.727;50;75.758;10;83.333;1;100.000;2656;65.050
358;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
359;12;18.182;38;17.273;93;18.788;170;21.465;149;16.126;176;22.222;114;23.030;29;13.182;9;13.636;0;0.000;0;0.000;790;19.349
360;11;16.667;55;25.000;163;32.929;272;34.343;218;23.593;156;19.697;105;21.212;18;8.182;22;33.333;0;0.000;0;0.000;1020;24.982
363;23;34.848;96;43.636;247;49.899;392;49.495;476;51.515;512;64.646;277;55.960;166;75.455;42;63.636;7;58.333;1;100.000;2239;54.837
365;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
366;23;34.848;98;44.545;221;44.646;406;51.263;481;52.056;432;54.545;341;68.889;132;60.000;46;69.697;11;91.667;1;100.000;2192;53.686
367;21;31.818;100;45.455;246;49.697;391;49.369;388;41.991;369;46.591;245;49.495;126;57.273;43;65.152;10;83.333;1;100.000;1940;47.514
368;11;16.667;37;16.818;88;17.778;158;19.949;221;23.918;133;16.793;56;11.313;18;8.182;0;0.000;0;0.000;0;0.000;722;17.683
