obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;28;42.424;120;54.545;305;61.616;522;65.909;638;69.048;564;71.212;360;72.727;167;75.909;48;72.727;9;75.000;0;0.000;2761;67.622
1;13;19.697;70;31.818;192;38.788;347;43.813;459;49.675;451;56.944;312;63.030;154;70.000;48;72.727;9;75.000;1;100.000;2056;50.355
2;10;15.152;19;8.636;18;3.636;7;0.884;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;56;1.372
3;11;16.667;46;20.909;100;20.202;112;14.141;88;9.524;49;6.187;19;3.838;3;1.364;0;0.000;0;0.000;0;0.000;428;10.482
4;33;50.000;130;59.091;340;68.687;606;76.515;764;82.684;695;87.753;456;92.121;210;95.455;65;98.485;12;100.000;1;100.000;3312;81.117
5;22;33.333;79;35.909;172;34.747;262;33.081;259;28.030;165;20.833;57;11.515;10;4.545;1;1.515;0;0.000;0;0.000;1027;25.153
6;34;51.515;128;58.182;328;66.263;588;74.242;742;80.303;679;85.732;454;91.717;209;95.000;64;96.970;12;100.000;1;100.000;3239;79.329
7;9;13.636;15;6.818;12;2.424;7;0.884;5;0.541;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;49;1.200
8;20;30.303;76;34.545;198;40.000;391;49.369;536;58.009;511;64.520;342;69.091;153;69.545;49;74.242;10;83.333;1;100.000;2287;56.013
9;6;9.091;6;2.727;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
10;9;13.636;20;9.091;35;7.071;33;4.167;17;1.840;6;0.758;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;121;2.964
11;11;16.667;19;8.636;30;6.061;15;1.894;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;79;1.935
12;4;6.061;5;2.273;14;2.828;5;0.631;4;0.433;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;33;0.808
13;20;30.303;91;41.364;257;51.919;467;58.965;583;63.095;508;64.141;341;68.889;166;75.455;55;83.333;11;91.667;1;100.000;2500;61.229
14;21;31.818;72;32.727;204;41.212;371;46.843;479;51.840;458;57.828;317;64.040;148;67.273;45;68.182;6;50.000;0;0.000;2121;51.947
15;6;9.091;10;4.545;16;3.232;17;2.146;11;1.190;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;61;1.494
16;13;19.697;25;11.364;75;15.152;146;18.434;167;18.074;136;17.172;78;15.758;27;12.273;7;10.606;1;8.333;0;0.000;675;16.532
17;8;12.121;35;15.909;99;20.000;206;26.010;290;31.385;266;33.586;164;33.131;72;32.727;23;34.848;3;25.000;0;0.000;1166;28.557
18;7;10.606;34;15.455;86;17.374;128;16.162;105;11.364;41;5.177;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;405;9.919
19;12;18.182;30;13.636;67;13.535;105;13.258;117;12.662;88;11.111;56;11.313;23;10.455;6;9.091;1;8.333;0;0.000;505;12.368
20;12;18.182;17;7.727;30;6.061;24;3.030;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;87;2.131
21;6;9.091;27;12.273;42;8.485;44;5.556;37;4.004;23;2.904;5;1.010;1;0.455;0;0.000;0;0.000;0;0.000;185;4.531
22;23;34.848;84;38.182;223;45.051;391;49.369;504;54.545;472;59.596;331;66.869;165;75.000;55;83.333;11;91.667;1;100.000;2260;55.351
