obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
2;12;26.667;37;30.833;84;40.000;125;49.603;120;57.143;75;62.500;31;68.889;8;80.000;1;100.000;493;48.667
3;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
4;6;13.333;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
5;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
7;10;22.222;29;24.167;51;24.286;51;20.238;38;18.095;21;17.500;8;17.778;1;10.000;0;0.000;209;20.632
9;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
10;9;20.000;13;10.833;8;3.810;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;32;3.159
11;9;20.000;16;13.333;3;1.429;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;29;2.863
12;4;8.889;10;8.333;17;8.095;7;2.778;4;1.905;1;0.833;0;0.000;0;0.000;0;0.000;43;4.245
13;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
14;2;4.444;7;5.833;10;4.762;3;1.190;1;0.476;1;0.833;0;0.000;0;0.000;0;0.000;24;2.369
16;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
18;5;11.111;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
20;2;4.444;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
21;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
26;10;22.222;29;24.167;9;4.286;4;1.587;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;54;5.331
27;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
29;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
30;3;6.667;6;5.000;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
32;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
33;0;0.000;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
35;7;15.556;18;15.000;28;13.333;21;8.333;20;9.524;3;2.500;0;0.000;0;0.000;0;0.000;97;9.576
36;5;11.111;8;6.667;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;2.172
38;2;4.444;4;3.333;1;0.476;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
40;1;2.222;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
41;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
43;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
44;2;4.444;6;5.000;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;1.283
45;7;15.556;11;9.167;9;4.286;11;4.365;6;2.857;0;0.000;0;0.000;0;0.000;0;0.000;44;4.344
46;6;13.333;26;21.667;18;8.571;16;6.349;7;3.333;2;1.667;0;0.000;0;0.000;0;0.000;75;7.404
47;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
49;6;13.333;9;7.500;9;4.286;14;5.556;10;4.762;1;0.833;0;0.000;0;0.000;0;0.000;49;4.837
51;3;6.667;2;1.667;2;0.952;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
53;5;11.111;6;5.000;10;4.762;6;2.381;4;1.905;2;1.667;0;0.000;0;0.000;0;0.000;33;3.258
54;3;6.667;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
55;3;6.667;5;4.167;4;1.905;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;1.283
57;10;22.222;9;7.500;8;3.810;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;27;2.665
59;3;6.667;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
60;12;26.667;34;28.333;80;38.095;104;41.270;87;41.429;38;31.667;7;15.556;1;10.000;0;0.000;363;35.834
62;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
63;6;13.333;17;14.167;37;17.619;26;10.317;19;9.048;7;5.833;0;0.000;0;0.000;0;0.000;112;11.056
64;4;8.889;6;5.000;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
65;2;4.444;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
66;7;15.556;27;22.500;40;19.048;34;13.492;22;10.476;11;9.167;5;11.111;0;0.000;0;0.000;146;14.413
68;10;22.222;11;9.167;11;5.238;10;3.968;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;45;4.442
