obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
278;8;17.778;10;8.333;31;14.762;22;8.730;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;74;7.305
279;9;20.000;9;7.500;11;5.238;14;5.556;6;2.857;0;0.000;0;0.000;0;0.000;0;0.000;49;4.837
280;10;22.222;35;29.167;64;30.476;73;28.968;59;28.095;32;26.667;5;11.111;0;0.000;0;0.000;278;27.443
281;3;6.667;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
282;4;8.889;8;6.667;3;1.429;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
283;6;13.333;2;1.667;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
284;12;26.667;38;31.667;85;40.476;121;48.016;112;53.333;64;53.333;28;62.222;8;80.000;0;0.000;468;46.199
285;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
286;3;6.667;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
287;9;20.000;18;15.000;42;20.000;35;13.889;26;12.381;16;13.333;5;11.111;0;0.000;0;0.000;151;14.906
288;5;11.111;9;7.500;9;4.286;8;3.175;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;33;3.258
290;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
291;5;11.111;1;0.833;5;2.381;1;0.397;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;13;1.283
292;2;4.444;7;5.833;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
293;6;13.333;12;10.000;14;6.667;8;3.175;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;40;3.949
294;9;20.000;16;13.333;28;13.333;24;9.524;25;11.905;5;4.167;0;0.000;0;0.000;0;0.000;107;10.563
295;9;20.000;18;15.000;13;6.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;40;3.949
296;6;13.333;6;5.000;6;2.857;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;1.876
297;14;31.111;46;38.333;77;36.667;80;31.746;79;37.619;50;41.667;21;46.667;6;60.000;0;0.000;373;36.821
298;23;51.111;61;50.833;126;60.000;165;65.476;147;70.000;91;75.833;37;82.222;9;90.000;1;100.000;660;65.153
299;9;20.000;14;11.667;24;11.429;22;8.730;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;73;7.206
300;5;11.111;13;10.833;9;4.286;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;28;2.764
301;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
302;4;8.889;11;9.167;9;4.286;19;7.540;12;5.714;1;0.833;0;0.000;0;0.000;0;0.000;56;5.528
303;11;24.444;19;15.833;17;8.095;10;3.968;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;60;5.923
305;9;20.000;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
306;10;22.222;35;29.167;70;33.333;51;20.238;16;7.619;3;2.500;1;2.222;0;0.000;0;0.000;186;18.361
307;16;35.556;36;30.000;86;40.952;122;48.413;108;51.429;62;51.667;27;60.000;7;70.000;0;0.000;464;45.805
308;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
309;9;20.000;36;30.000;83;39.524;112;44.444;93;44.286;53;44.167;19;42.222;1;10.000;0;0.000;406;40.079
310;10;22.222;37;30.833;85;40.476;126;50.000;126;60.000;84;70.000;36;80.000;9;90.000;1;100.000;514;50.740
311;17;37.778;56;46.667;114;54.286;130;51.587;111;52.857;59;49.167;28;62.222;8;80.000;1;100.000;524;51.728
312;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
313;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
314;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
315;9;20.000;18;15.000;23;10.952;11;4.365;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;62;6.120
316;21;46.667;70;58.333;134;63.810;170;67.460;153;72.857;100;83.333;41;91.111;9;90.000;1;100.000;699;69.003
317;3;6.667;7;5.833;15;7.143;10;3.968;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;36;3.554
318;18;40.000;31;25.833;50;23.810;69;27.381;50;23.810;32;26.667;7;15.556;0;0.000;0;0.000;257;25.370
319;9;20.000;27;22.500;51;24.286;60;23.810;41;19.524;14;11.667;0;0.000;0;0.000;0;0.000;202;19.941
320;11;24.444;17;14.167;27;12.857;23;9.127;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;87;8.588
321;3;6.667;7;5.833;5;2.381;6;2.381;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
322;7;15.556;9;7.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
323;2;4.444;5;4.167;19;9.048;31;12.302;20;9.524;11;9.167;2;4.444;0;0.000;0;0.000;90;8.885
324;8;17.778;21;17.500;43;20.476;34;13.492;21;10.000;4;3.333;0;0.000;0;0.000;0;0.000;131;12.932
326;6;13.333;0;0.000;1;0.476;1;0.397;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
327;15;33.333;49;40.833;51;24.286;55;21.825;41;19.524;15;12.500;3;6.667;0;0.000;0;0.000;229;22.606
328;13;28.889;19;15.833;38;18.095;32;12.698;22;10.476;8;6.667;1;2.222;0;0.000;0;0.000;133;13.129
329;12;26.667;37;30.833;77;36.667;105;41.667;104;49.524;68;56.667;30;66.667;7;70.000;1;100.000;441;43.534
330;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
331;4;8.889;8;6.667;4;1.905;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;1.876
332;9;20.000;19;15.833;19;9.048;18;7.143;13;6.190;1;0.833;0;0.000;0;0.000;0;0.000;79;7.799
333;15;33.333;36;30.000;81;38.571;109;43.254;107;50.952;62;51.667;25;55.556;6;60.000;1;100.000;442;43.633
334;6;13.333;6;5.000;7;3.333;7;2.778;7;3.333;3;2.500;1;2.222;0;0.000;0;0.000;37;3.653
335;24;53.333;81;67.500;160;76.190;202;80.159;176;83.810;106;88.333;43;95.556;10;100.000;1;100.000;803;79.269
336;5;11.111;3;2.500;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
337;3;6.667;5;4.167;12;5.714;5;1.984;0;0.000;1;0.833;0;0.000;0;0.000;0;0.000;26;2.567
338;8;17.778;11;9.167;15;7.143;23;9.127;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;60;5.923
339;10;22.222;18;15.000;10;4.762;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;39;3.850
340;4;8.889;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
341;2;4.444;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
342;6;13.333;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
343;20;44.444;57;47.500;117;55.714;148;58.730;147;70.000;89;74.167;40;88.889;9;90.000;1;100.000;628;61.994
344;19;42.222;57;47.500;113;53.810;162;64.286;152;72.381;92;76.667;36;80.000;9;90.000;1;100.000;641;63.277
345;13;28.889;30;25.000;66;31.429;87;34.524;80;38.095;57;47.500;22;48.889;6;60.000;1;100.000;362;35.735
347;8;17.778;12;10.000;14;6.667;4;1.587;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;38;3.751
